จังหวัด,ฝนเฉลี่ยทั้งปี(I)มม.,อัตราการระเหย พ.ย.-เม.ย.(E)มม.,อัตราการรั่วซึม พ.ย.-เม.ย.(S)มม.,อัตราน้ำท่า พ.ค.-ต.ค.®ม.3/กม.2 ,อัตราน้ำนองสูงสุด(q)ม.3/วินาที/กม.2 
เชียงราย,1726,560,540,575200,12.2
เชียงใหม่,1129,560,540,238600,6.4
แม่ฮ่องสอน,1129,560,540,238600,6.4
พะเยา,1129,560,540,238600,6.4
ลำปาง,1129,560,540,238600,6.4
ลำพูน,1157,560,540,195900,7
น่าน,1328,407,540,272900,8.4
แพร่,1328,560,540,272900,8.4
อุตรดิตถ์,1258,560,540,319700,7.4
สุโขทัย,1212,560,540,270400,5.6
ตาก,1129,560,540,238600,6.4
พิษณุโลก,1258,560,540,319700,7.4
กำแพงเพชร,1212,560,540,270400,5.6
พิจิตร,1212,560,540,270400,5.6
เพชรบูรณ์,1212,560,540,270400,5.6
นครสวรรค์,1212,560,540,270400,5.6
อุทัยธานี,1247,1143,360,227000,2.6
ชัยนาท,1247,1143,360,227000,2.6
สิงห์บุรี,1247,1143,360,227000,2.6
อ่างทอง,1247,1143,360,227000,2.6
ชลบุรี,1325,753,360,235800,2.4
ระยอง,1325,753,360,235800,2.4
จันทบุรี,2354,753,360,934700,5.4
ตราด,2354,753,360,934700,5.4
สระแก้ว,1611,753,360,403300,2.3
กาญจนบุรี,1212,753,360,213700,2.4
นครปฐม,1247,1143,360,227000,2.6
สมุทรสาคร,1054,598,360,126500,3.5
สมุทรสงคราม,1054,598,360,126500,3.5
ราชบุรี,1054,598,360,126500,3.5
เพชรบุรี,1054,598,360,126500,3.5
ประจวบคีรีขันธ์,1054,598,360,126500,3.5
ชุมพร,1975,524,540,280400,11.1
ระนอง,2911,386,540,1357100,5.8
สุราษฎร์ธานี,1975,524,540,280400,11.1
นครศรธรรมราช,2520,524,540,833200,13.9
กระบี่,2240,524,540,794400,5.5
ภูเก็ต,2240,524,540,794400,5.5
พังงา,2911,386,540,1357100,5.8
ตรัง,2240,524,540,794400,5.5
พัทลุง,2520,524,540,833200,13.9
สตูล,2240,524,540,794400,5.5
สงขลา,1633,524,540,596900,10.6
ปัตตานี,1633,524,540,596900,10.6
ยะลา,1633,524,540,596900,10.6
นราธิวาส,2278,524,540,715400,11.4
สุพรรุณบรี,1247,1143,360,227000,2.6
พระนครศรีฯ,1247,1143,360,227000,2.6
ปทุมธานี,1247,1143,360,227000,2.6
นนทบุรี,1247,1143,360,227000,2.6
หนองคาย,1614,796,360,472900,3.7
บึงกาฬ,1614,796,360,472900,3.7
เลย,1151,572,360,162300,2.9
อุดรธานี,1321,796,360,235300,2.4
สกลนคร,1429,796,360,280500,2.6
นครพนม,1614,796,360,472900,3.7
มุกดาหาร,1614,796,360,472900,3.7
หนองบัวลำภู,1321,796,360,235300,2.4
ขอนแก่น,1151,796,360,162300,2.9
กาฬสินธุ์,1321,796,360,235300,2.4
มหาสารคาม,1151,796,360,162300,2.9
ร้อยเอ็ด,1321,796,360,235300,2.4
ยโสธร,1321,796,360,235300,2.4
อุบลราชธานี,1429,796,360,280500,2.6
ชัยภูมิ,1123,796,360,140600,3.7
อำนาจเจริญ,1429,796,360,280500,2.6
นครราชสีมา,1123,796,360,140600,3.7
บุรีรัมย์,1151,796,360,162300,2.9
สุรินทร์,1151,796,360,162300,2.9
ศรีสะเกษ,1321,796,360,235300,2.9
ลพบุรี,1247,1143,360,227000,2.6
สระบุรี,1212,753,360,213700,2.4
ปราจีนบุรี,1611,753,360,403300,2.3
นครนายก,1611,753,360,403300,2.3
สมุทรปราการ,1247,1143,360,227000,2.6
ฉะเชิงเทรา,1247,1143,360,227000,2.6
